  Dy MxT   MnT   AvT  AvDP 1HrP TPcpn  PDir AvSp Dir MxS SkyC MxR MnR AvSLP

   1  69    43    56  53.8       0.00   280  9.6 270  17  1.6  93 23 1004.5
   2  74    51    62  46.5       0.00   330  8.7 340  23  3.3  70 28 1004.5
   3  67    57    62  39.6       0.00   350  5.0 350   9  2.8  59 24 1016.8
   4  46    46    46  51.1       0.00   110  9.1 130  12  8.6  62 40 1021.1
   5  74    45    59  68.3       0.00   220  8.3 260  12  6.9  84 55 1014.4
   6  76    50    63  63.7       0.00   030  6.2 030  13  9.7  93 60 1012.7
   7  51    48    49  53.0       0.00   050  9.5 050  17  5.3  90 48 1021.8
   8  60    54    57  50.0       0.00   160  4.2 150  10  2.6  93 41 1026.3
   9  58    45    51  61.5       0.00   240  7.6 220  12  6.0  78 46 1018.6
  10  55    43    49  57.5       0.00   210  6.6 050   9  3.4  84 40 1019.0
  11  63    43    53  66.3       0.00   250  7.1 230  12  2.5  93 45 1012.6
  12  43    41    42  68.7       0.00   250  8.1 270  21  7.9  94 51 1007.0
  13  64    42    53  55.0       0.00   150  3.0 150   8 10.0  83 59 1012.6
  14  72    47    59  55.9       0.00   060  6.7 080   9 10.0  93 87 1008.6
  15  73    53    63  54.9       0.00   040  4.3 200   7  9.6  96 70 1006.1
  16  81    52    66  56.7       0.00   250  7.6 240  21  7.8  87 44 1007.0
  17  63    57    60  51.7       0.00   260  9.1 270  29* 5.2  90 34 1012.5
  18  69    50    59  52.6       0.00   230  4.0 190  12  5.0  93 34 1021.3
  19  83    56    69  58.9       0.00   250  5.2 230  12  5.3  87 44 1028.5
  20  79    55    67  58.9       0.00   150  6.3 160  13  3.6  90 43 1032.5
  21  51    44    47  57.7       0.00   240  6.1 250  12  1.0  87 35 1030.7
  22  75    57    66  61.1       0.00   250  6.4 230   9  0.2  78 38 1026.4
  23  58    50    54  63.1       0.00   240  8.3 230  12  0.2  68 42 1021.3
  24  69    44    56  67.5       0.00   350  8.5 010  14  6.9  74 48 1018.2
  25  51    49    50  61.3       0.00   190  4.9 230   9  5.6  81 29 1019.6
  26  74    52    63  70.4       0.00   050  5.1 200  12  4.0 107 45 1014.9
  27  56    53    54  69.7       0.00   250 12.1 230  17  7.1  90 47 1009.0
  28  80    57    68  65.6       0.00   280  7.6 340  16  7.0 100 51 1011.0
  29  56    46    51  59.7       0.00   040  5.4 020   9  5.3  84 33 1020.6
  30  43    42    42  63.6       0.00   240  6.0 220  17  4.8 200 41 1022.7
  31  67    50    58  69.7       0.00   030  8.2 230  10. 3.7  78 46 1021.3
